fin_year,mnth,lgd_state_code,state_name,lgd_district_code,district_name,scheme_code,total_beneficiaries,total_sc,total_st,total_gen,total_obc,total_aadhar,total_mobileno,lastUpdated
2023-2024,1,1,JAMMU AND KASHMIR,12,RAJAURI,IGNOAPS,10951,18,646,10245,42,6496,671,2024-07-30
2023-2024,1,1,JAMMU AND KASHMIR,13,SRINAGAR,IGNOAPS,5042,0,5,5037,0,2618,1030,2024-07-30
2023-2024,1,1,JAMMU AND KASHMIR,5,JAMMU,IGNOAPS,9588,3411,164,5897,116,4478,77,2024-07-30
2023-2024,1,1,JAMMU AND KASHMIR,620,KISHTWAR,IGNOAPS,4694,6,202,4419,67,4219,380,2024-07-30
2023-2024,1,1,JAMMU AND KASHMIR,622,KULGAM,IGNOAPS,4525,66,95,3972,392,1807,0,2024-07-30
2023-2024,1,1,JAMMU AND KASHMIR,623,BANDIPORA,IGNOAPS,4074,5,693,3312,64,3399,581,2024-07-30
2023-2024,1,1,JAMMU AND KASHMIR,627,REASI,IGNOAPS,4924,63,2866,1976,19,3028,0,2024-07-30
2023-2024,1,1,JAMMU AND KASHMIR,8,KUPWARA,IGNOAPS,8873,65,725,4554,3529,8873,4182,2024-07-30
2023-2024,1,10,BIHAR,188,ARARIA,IGNOAPS,110634,12180,333,96745,1376,78720,77636,2024-07-30
2023-2024,1,10,BIHAR,194,BUXAR,IGNOAPS,66681,14325,1132,49368,1856,55280,59425,2024-07-30
2023-2024,1,10,BIHAR,206,MADHUBANI,IGNOAPS,237912,15392,813,210999,10708,171212,186839,2024-07-30
2023-2024,1,10,BIHAR,207,MUNGER,IGNOAPS,44008,5988,590,36046,1384,34135,35897,2024-07-30
2023-2024,1,10,BIHAR,210,NAWADA,IGNOAPS,80091,31349,434,16234,32074,54530,61885,2024-07-30
2023-2024,1,10,BIHAR,212,PATNA,IGNOAPS,278410,52481,1789,160443,63697,144249,148544,2024-07-30
2023-2024,1,10,BIHAR,215,ROHTAS,IGNOAPS,93121,5963,435,83449,3274,75784,75651,2024-07-30
2023-2024,1,10,BIHAR,217,SAMASTIPUR,IGNOAPS,119892,29314,441,87167,2970,94674,103204,2024-07-30
2023-2024,1,12,ARUNACHAL PRADESH,232,EAST SIANG,IGNOAPS,2680,0,2680,0,0,1671,0,2024-07-30
2023-2024,1,12,ARUNACHAL PRADESH,235,LOWER DIBANG VALLEY,IGNOAPS,1470,0,1470,0,0,1130,167,2024-07-30
2023-2024,1,12,ARUNACHAL PRADESH,679,SIANG,IGNOAPS,888,0,888,0,0,356,0,2024-07-30
2023-2024,1,12,ARUNACHAL PRADESH,719,LOWER SIANG,IGNOAPS,543,0,543,0,0,365,39,2024-07-30
2023-2024,1,12,ARUNACHAL PRADESH,725,SHI YOMI,IGNOAPS,785,0,785,0,0,339,63,2024-07-30
2023-2024,1,13,NAGALAND,244,DIMAPUR,IGNOAPS,5665,5,5543,104,13,5,2,2024-07-30
2023-2024,1,13,NAGALAND,247,MON,IGNOAPS,6594,15,6579,0,0,10,0,2024-07-30
2023-2024,1,13,NAGALAND,251,ZUNHEBOTO,IGNOAPS,6105,0,6105,0,0,1155,0,2024-07-30
2023-2024,1,13,NAGALAND,613,PEREN,IGNOAPS,2180,0,2180,0,0,0,0,2024-07-30
2023-2024,1,14,MANIPUR,253,CHANDEL,IGNOAPS,2083,0,1978,41,64,1026,20,2024-07-30
2023-2024,1,14,MANIPUR,255,IMPHAL EAST,IGNOAPS,8778,50,353,1315,7060,7420,340,2024-07-30
2023-2024,1,15,MIZORAM,265,LUNGLEI,IGNOAPS,4518,39,4269,209,1,2631,2645,2024-07-30
2023-2024,1,15,MIZORAM,727,SAITUAL,IGNOAPS,652,1,651,0,0,605,650,2024-07-30
2023-2024,1,16,TRIPURA,652,KHOWAI,IGNOAPS,12790,2068,5427,2994,2301,7311,18,2024-07-30
2023-2024,1,16,TRIPURA,654,GOMATI,IGNOAPS,16488,2523,6978,5430,1557,11869,41,2024-07-30
2023-2024,1,17,MEGHALAYA,276,RI BHOI,IGNOAPS,6219,30,6093,91,5,2980,292,2024-07-30
2023-2024,1,18,ASSAM,285,DHUBRI,IGNOAPS,27243,94,16,26829,304,22267,21628,2024-07-30
2023-2024,1,18,ASSAM,294,KOKRAJHAR,IGNOAPS,21879,819,10016,7701,3343,15953,17232,2024-07-30
2023-2024,1,18,ASSAM,299,DIMA HASAO,IGNOAPS,3639,26,2962,601,50,2877,3639,2024-07-30
2023-2024,1,18,ASSAM,301,SONITPUR,IGNOAPS,21721,460,667,19044,1550,13589,12920,2024-07-30
2023-2024,1,18,ASSAM,302,TINSUKIA,IGNOAPS,22426,607,1644,15261,4914,17456,18130,2024-07-30
2023-2024,1,19,WEST BENGAL,304,24 PARGANAS SOUTH,IGNOAPS,105786,29313,2491,73357,336,99826,90159,2024-07-30
2023-2024,1,19,WEST BENGAL,306,PURBA BURDWAN,IGNOAPS,70955,25468,4627,39622,1019,69704,63971,2024-07-30
2023-2024,1,19,WEST BENGAL,316,MALDAH,IGNOAPS,55019,10039,2044,42466,436,52711,53849,2024-07-30
2023-2024,1,19,WEST BENGAL,318,PASCHIM MEDINIPUR,IGNOAPS,62443,14170,7115,40630,517,61225,59371,2024-07-30
2023-2024,1,19,WEST BENGAL,319,MURSHIDABAD,IGNOAPS,135561,15482,1376,114882,3074,130756,126686,2024-07-30
2023-2024,1,19,WEST BENGAL,702,KALIMPONG,IGNOAPS,2655,201,773,1644,37,2632,2654,2024-07-30
2023-2024,1,2,HIMACHAL PRADESH,20,KULLU,IGNOAPS,4546,1783,54,2621,88,1609,0,2024-07-30
2023-2024,1,2,HIMACHAL PRADESH,25,SOLAN,IGNOAPS,5056,2103,207,2534,212,1329,0,2024-07-30
2023-2024,1,20,JHARKHAND,323,CHATRA,IGNOAPS,30142,7648,513,6932,15049,29854,22914,2024-07-30
2023-2024,1,20,JHARKHAND,325,DHANBAD,IGNOAPS,61047,7177,5208,18721,29941,60497,11237,2024-07-30
2023-2024,1,20,JHARKHAND,328,GARHWA,IGNOAPS,63193,15458,5810,14339,27586,61902,17418,2024-07-30
2023-2024,1,20,JHARKHAND,342,SIMDEGA,IGNOAPS,20720,2227,14715,1467,2311,20660,5398,2024-07-30
2023-2024,1,21,ODISHA,348,BHADRAK,IGNOAPS,46330,5969,405,30295,9661,46086,36377,2024-07-30
2023-2024,1,21,ODISHA,356,JAJPUR,IGNOAPS,61077,7048,852,40023,13154,60936,22376,2024-07-30
2023-2024,1,22,CHHATTISGARH,389,SURGUJA,IGNOAPS,30092,1555,6851,18275,3411,28758,6004,2024-07-30
2023-2024,1,22,CHHATTISGARH,649,BALRAMPUR,IGNOAPS,18276,522,7173,8046,2535,16642,12876,2024-07-30
2023-2024,1,22,CHHATTISGARH,650,BEMETARA,IGNOAPS,14364,1585,546,3385,8848,12409,3792,2024-07-30
2023-2024,1,23,MADHYA PRADESH,392,BALAGHAT,IGNOAPS,106204,9288,22319,2425,72172,64469,45401,2024-07-30
2023-2024,1,23,MADHYA PRADESH,395,BHIND,IGNOAPS,35256,11390,123,8010,15733,21035,19805,2024-07-30
2023-2024,1,23,MADHYA PRADESH,404,DINDORI,IGNOAPS,53747,3322,34053,919,15453,23275,14784,2024-07-30
2023-2024,1,23,MADHYA PRADESH,408,HARDA,IGNOAPS,15524,3901,5096,1118,5409,6683,6788,2024-07-30
2023-2024,1,23,MADHYA PRADESH,413,KATNI,IGNOAPS,54789,8475,15319,5992,25003,25888,25248,2024-07-30
2023-2024,1,23,MADHYA PRADESH,426,SATNA,IGNOAPS,129666,27328,23955,27272,51111,90739,48237,2024-07-30
2023-2024,1,23,MADHYA PRADESH,429,SHAHDOL,IGNOAPS,44456,4542,21526,5924,12464,30891,19119,2024-07-30
2023-2024,1,23,MADHYA PRADESH,434,TIKAMGARH,IGNOAPS,70518,21188,3833,6087,39410,46843,36811,2024-07-30
2023-2024,1,23,MADHYA PRADESH,436,UMARIA,IGNOAPS,38798,3634,18171,4955,12038,16531,16729,2024-07-30
2023-2024,1,23,MADHYA PRADESH,437,VIDISHA,IGNOAPS,62749,17218,4431,8727,32373,31120,22635,2024-07-30
2023-2024,1,24,GUJARAT,438,AHMADABAD,IGNOAPS,65292,8349,417,47116,8943,55112,22904,2024-07-30
2023-2024,1,24,GUJARAT,439,AMRELI,IGNOAPS,24706,3379,255,5842,15228,24159,12937,2024-07-30
2023-2024,1,24,GUJARAT,445,DAHOD,IGNOAPS,74534,1417,55629,4117,13370,70082,45872,2024-07-30
2023-2024,1,24,GUJARAT,447,JAMNAGAR,IGNOAPS,23609,2148,140,11598,9686,22656,10291,2024-07-30
2023-2024,1,24,GUJARAT,449,KACHCHH,IGNOAPS,16111,2177,137,8088,5679,15221,8610,2024-07-30
2023-2024,1,24,GUJARAT,456,PORBANDAR,IGNOAPS,7167,1411,132,1637,3987,6489,2944,2024-07-30
2023-2024,1,24,GUJARAT,458,SABAR KANTHA,IGNOAPS,25905,3293,7321,8868,6409,24000,16428,2024-07-30
2023-2024,1,27,MAHARASHTRA,474,DHULE,IGNOAPS,39424,143,1246,37329,706,28252,78,2024-07-30
2023-2024,1,27,MAHARASHTRA,477,HINGOLI,IGNOAPS,14408,1286,127,12618,377,12934,1777,2024-07-30
2023-2024,1,27,MAHARASHTRA,479,JALNA,IGNOAPS,38499,806,159,36547,987,35094,22971,2024-07-30
2023-2024,1,27,MAHARASHTRA,481,LATUR,IGNOAPS,72123,9870,1678,46498,14077,61262,6753,2024-07-30
2023-2024,1,27,MAHARASHTRA,487,NASHIK,IGNOAPS,65525,3442,27226,30960,3897,54751,6775,2024-07-30
2023-2024,1,27,MAHARASHTRA,500,YAVATMAL,IGNOAPS,34700,2442,2238,24380,5640,33445,9484,2024-07-30
2023-2024,1,28,ANDHRA PRADESH,503,CHITTOOR,IGNOAPS,147942,22911,5159,68476,51396,108524,101527,2024-07-30
